frame,sparc
762,-2.7605581646625317
763,-2.7602380854466544
764,-2.749078678617531
765,-2.724398102576414
766,-2.6791105344375015
767,-2.608777957089664
768,-2.519224595374853
769,-2.4275558504894605
770,-2.355095086973183
771,-2.3201033458086364
772,-2.3361556122327194
773,-2.407036468851919
774,-2.5101824657542124
775,-2.6059140058314685
776,-2.682904340694178
777,-2.709579803926383
778,-2.64473117589055
779,-2.5713161033877054
780,-2.510751533011384
781,-2.479747300180152
782,-2.4863206955245363
783,-2.527486162926719
784,-2.5932864697617113
785,-2.664436133480947
786,-2.6860973953518057
787,-2.699137293360534
788,-2.687636824496979
789,-2.6457512894417716
790,-2.5747434434799747
791,-2.483114735780214
792,-2.390170613305755
793,-2.3159171896967994
794,-2.269480530748189
795,-2.2665383861389516
796,-2.319946977771444
797,-2.4233180901521134
798,-2.5554623644214995
799,-2.6872471771004873
800,-2.784539492549364
801,-2.811172126843265
802,-2.7548543617871166
803,-2.6923102686448184
804,-2.674555970721373
805,-2.6921028779381615
806,-2.7121992287288625
807,-2.668574731069688
808,-2.5693191966877555
809,-2.7557565769755357
810,-2.036204562298383
811,-2.059461745078281
812,-2.2872151322761582
813,-2.429593639928914
814,-2.5299815943388295
815,-2.604469998847251
816,-2.661849136103898
817,-2.7068963869592517
818,-2.74105709889946
819,-2.7635848703103587
820,-2.772617254691656
821,-2.7657319256768917
822,-2.7402643873859893
823,-2.69400010016595
824,-2.6263925860641666
825,-2.539937572922378
826,-2.441312266802025
827,-2.3420810609125295
828,-2.2585119956915642
829,-2.209683075308688
830,-2.2138329444751412
831,-2.283577294271527
832,-2.413101962456522
833,-2.5599718733863583
834,-2.686753535332099
835,-2.7725276205487197
836,-2.813501269905813
837,-2.816471769692225
838,-2.791394641795799
839,-2.7471533615735715
840,-2.69040508533308
841,-2.6260127625041183
842,-2.5578313808352298
843,-2.4893513681506745
844,-2.4242695149340516
845,-2.3671870734053986
846,-2.3245307302677554
847,-2.3056159455218457
848,-2.323338850498425
849,-2.392666265784199
850,-2.521199910586322
851,-2.6807947790079703
852,-2.774844982880465
853,-2.7268405339446584
854,-2.596306527821823
855,-2.4732723450001597
856,-2.399140306157604
857,-2.378591364807917
858,-2.404288450931569
859,-2.4661088396910467
860,-2.5518106564162872
861,-2.645679949220275
862,-2.728967377056274
863,-2.7845744749142227
864,-2.8036753244380304
865,-2.788158688903156
866,-2.747088944247684
867,-2.691235829778898
868,-2.6294105565310524
869,-2.567338802378761
870,-2.508302331524186
871,-2.454693614784926
872,-2.4104642466066304
873,-2.4202546528913436
874,-2.5157558233178583
875,-2.636874053917794
876,-2.7208402116705694
877,-2.7549262059809423
878,-2.749548122987436
879,-2.722026738362389
880,-2.693439666111644
881,-2.69427581416128
882,-2.7441145292429896
883,-2.7883588406600435
884,-2.813831101786181
885,-2.7056538871690727
886,-2.5569315436448
887,-2.438932770038359
888,-2.3885530234535395
889,-2.3938591845275266
890,-2.437192657384544
891,-2.5043169375639227
892,-2.5820931737791186
893,-2.657208549707101
894,-2.717473209989874
895,-2.755111642922498
896,-2.7688007759317177
897,-2.7617487791082334
898,-2.7380511662317164
899,-2.7005204335120303
